['r_shoulder_z', 'r_shoulder_y', 'r_arm_x', 'r_elbow_y', 'r_wrist_z', 'r_wrist_x', 'r_thumb_z', 'r_thumb_x', 'r_indexfinger_x', 'r_middlefingers_x', 'x', 'y']
[32.0, 21.2, 13.5, 99.2, 165.4, 161.4, -72.2, 25.6, -179.6, 167.8, 0.59375, 0.27481481432914734, 47]
[38.1, 21.2, 13.5, 99.2, 165.4, 161.2, -72.2, 24.1, -179.6, 167.9, 0.6700000166893005, 0.22962963581085205, 47]
[44.6, 20.8, 13.8, 99.4, 165.1, 162.4, -72.2, 24.1, -178.1, 167.8, 0.7458333373069763, 0.16592592000961304, 48]
[39.5, 50.9, 26.2, 139.9, 158.1, 119.2, -69.1, 41.8, -178.9, 171.9, 0.5795833468437195, 0.6703703999519348, 37]
[52.5, 20.8, 13.8, 99.4, 165.1, 163.5, -72.2, 22.7, -179.6, 167.8, 0.8333333134651184, 0.07037036865949631, 48]
[27.3, 9.4, 11.4, 84.4, 169.3, 164.5, -72.2, 24.7, -178.1, 167.7, 0.5262500047683716, 0.145185187458992, 47]
[20.0, 9.4, 11.3, 84.4, 169.3, 164.5, -72.2, 24.7, -178.1, 167.7, 0.4375, 0.16740740835666656, 47]
[13.5, 9.4, 11.3, 84.4, 169.3, 164.5, -72.2, 24.7, -178.1, 167.7, 0.36375001072883606, 0.16740740835666656, 47]
[7.0, 8.7, 11.5, 84.2, 169.0, 166.9, -67.9, 23.1, -178.1, 167.8, 0.2866666615009308, 0.1474074125289917, 48]
[0.4, 9.4, 11.3, 84.4, 168.7, 163.9, -67.3, 24.7, -178.1, 167.8, 0.21458333730697632, 0.12148147821426392, 47]
[-6.4, 8.7, 11.5, 84.2, 169.0, 166.9, -67.9, 23.1, -178.1, 167.7, 0.14499999582767487, 0.0748148113489151, 48]
[31.8, 8.7, 11.3, 84.2, 170.4, 168.1, -67.2, 23.1, -178.1, 167.7, 0.5745833516120911, 0.11925926059484482, 48]
[36.2, 9.4, 11.1, 84.4, 170.6, 165.0, -72.2, 24.7, -178.1, 167.7, 0.6254166960716248, 0.09259258955717087, 47]
[43.2, 50.9, 26.2, 139.9, 158.1, 119.4, -69.1, 41.8, -179.0, 171.9, 0.637499988079071, 0.648888885974884, 37]
[46.3, 50.9, 26.2, 139.9, 158.1, 119.2, -69.1, 41.8, -179.0, 171.9, 0.6837499737739563, 0.6251851916313171, 37]
[50.6, 50.9, 26.2, 139.9, 158.1, 119.7, -69.1, 41.8, -179.0, 171.9, 0.75, 0.5814814567565918, 37]
[56.6, 51.2, 26.9, 141.2, 157.6, 120.6, -68.9, 40.3, -179.2, 173.0, 0.8687499761581421, 0.48444443941116333, 38]
